,length,ppl,label
516,21.0,-246.759651,0
517,26.0,-342.952291,0
518,29.0,-340.055215,0
519,30.0,-378.87524,0
520,32.0,-394.550318,0
521,8.0,-100.364776,0
522,40.0,-511.720225,0
523,22.0,-270.374744,0
524,18.0,-217.104558,0
525,25.0,-345.792566,0
526,21.0,-292.282888,0
527,9.0,-108.567772,0
528,25.0,-335.17302,0
529,43.0,-521.439,0
530,19.0,-229.71557,0
531,21.0,-288.484784,0
532,7.0,-98.500251,0
533,41.0,-535.024387,0
534,13.0,-155.439043,0
535,45.0,-536.344206,0
536,21.0,-262.358292,0
537,7.0,-85.319848,0
538,33.0,-425.952784,0
539,3.0,-38.360249,0
540,39.0,-468.135862,0
541,39.0,-509.730371,0
542,48.0,-673.047361,0
543,22.0,-290.552896,0
544,20.0,-268.577512,0
545,42.0,-526.543649,0
546,28.0,-360.61986,0
547,16.0,-200.290226,0
548,16.0,-204.697121,0
549,17.0,-221.838457,0
550,14.0,-183.63987,0
551,18.0,-204.303246,0
552,21.0,-255.674371,0
553,35.0,-489.026224,0
554,20.0,-286.761002,0
555,34.0,-496.113857,0
556,46.0,-584.545837,0
557,37.0,-516.76035,0
558,39.0,-555.547412,0
559,20.0,-253.890066,0
560,40.0,-541.578864,0
561,10.0,-130.222472,0
562,12.0,-125.418588,0
563,35.0,-439.621966,0
564,22.0,-303.098109,0
565,15.0,-204.866571,0
566,32.0,-433.408659,0
567,32.0,-419.855991,0
568,12.0,-166.708007,0
569,33.0,-419.947265,0
570,16.0,-220.048322,0
571,46.0,-603.968348,0
572,28.0,-399.698064,0
573,40.0,-540.326433,0
574,12.0,-160.248856,0
575,13.0,-201.053346,0
576,14.0,-215.844732,0
577,22.0,-257.203843,0
578,5.0,-61.952464,0
579,4.0,-53.515053,0
580,25.0,-297.874428,0
581,29.0,-395.121558,0
582,15.0,-200.483889,0
583,40.0,-423.691932,0
584,25.0,-295.800569,0
585,24.0,-313.663693,0
586,19.0,-242.646778,0
