,length,ppl,label
383,20.0,-197.064127,0
384,22.0,-192.209338,0
385,16.0,-163.885533,0
386,37.0,-343.530735,0
387,9.0,-114.773538,0
388,22.0,-234.073195,0
389,12.0,-126.895913,0
390,19.0,-202.898296,0
391,23.0,-263.382628,0
392,13.0,-126.432219,0
393,25.0,-248.886023,0
394,24.0,-269.482266,0
395,19.0,-188.422728,0
396,27.0,-303.824009,0
397,11.0,-102.892886,0
398,29.0,-305.023197,0
399,28.0,-315.50372,0
400,22.0,-203.010119,0
401,17.0,-171.325287,0
402,53.0,-491.39115,0
403,32.0,-308.278221,0
404,12.0,-156.340606,0
405,18.0,-178.858103,0
406,21.0,-182.826031,0
407,17.0,-163.266677,0
408,20.0,-194.191023,0
409,14.0,-130.099599,0
410,14.0,-135.751224,0
411,18.0,-158.997262,0
412,37.0,-441.309621,0
413,20.0,-187.972571,0
414,7.0,-73.923875,0
415,25.0,-265.582343,0
416,24.0,-218.669611,0
417,12.0,-124.792961,0
418,5.0,-51.96631,0
419,35.0,-414.897442,0
420,39.0,-414.151767,0
421,22.0,-242.246178,0
422,13.0,-146.317518,0
423,24.0,-236.102452,0
424,30.0,-295.719159,0
425,22.0,-228.497186,0
426,9.0,-59.758736,0
427,28.0,-252.911216,0
428,20.0,-168.018596,0
429,23.0,-182.681785,0
430,22.0,-215.461103,0
431,18.0,-192.454179,0
432,27.0,-286.487667,0
433,26.0,-259.538872,0
434,26.0,-320.398977,0
435,16.0,-194.579874,0
436,5.0,-51.878424,0
437,27.0,-281.39003,0
438,23.0,-201.347571,0
439,19.0,-219.631212,0
440,11.0,-119.879227,0
441,34.0,-372.19004,0
442,32.0,-376.095045,0
443,19.0,-186.583071,0
444,31.0,-312.142835,0
445,18.0,-191.478352,0
446,32.0,-351.466713,0
447,32.0,-328.484,0
448,6.0,-64.58003,0
449,18.0,-198.855006,0
450,28.0,-298.046068,0
451,17.0,-173.781378,0
452,9.0,-115.04176,0
453,11.0,-114.60436,0
454,28.0,-297.643661,0
455,29.0,-281.714128,0
456,5.0,-55.561241,0
457,27.0,-291.44491,0
458,42.0,-425.652582,0
459,21.0,-224.725416,0
460,16.0,-155.197197,0
461,30.0,-292.206067,0
462,32.0,-362.768052,0
463,17.0,-166.749358,0
464,22.0,-202.185239,0
465,31.0,-344.489071,0
466,29.0,-317.15813,0
467,23.0,-220.921629,0
468,12.0,-104.96685,0
469,17.0,-167.451077,0
470,33.0,-388.593245,0
471,13.0,-133.583138,0
472,16.0,-190.358443,0
473,23.0,-268.402215,0
474,16.0,-194.974161,0
475,22.0,-207.049846,0
476,19.0,-197.540647,0
477,21.0,-220.518336,0
478,18.0,-194.161953,0
479,15.0,-194.209701,0
480,19.0,-234.238629,0
481,13.0,-152.961937,0
482,17.0,-193.80095,0
483,12.0,-145.6757,0
484,13.0,-151.812698,0
485,27.0,-291.707723,0
486,12.0,-149.052549,0
487,17.0,-235.845766,0
488,6.0,-66.202214,0
489,13.0,-130.561245,0
490,21.0,-192.99516,0
491,19.0,-220.561054,0
492,29.0,-293.417285,0
493,26.0,-213.373953,0
494,15.0,-154.605418,0
495,29.0,-291.500557,0
496,13.0,-143.04928,0
497,32.0,-332.397669,0
498,9.0,-98.284495,0
499,14.0,-137.838238,0
500,26.0,-284.991076,0
501,15.0,-168.773776,0
502,2.0,-33.099649,0
503,20.0,-181.236774,0
504,24.0,-187.324928,0
505,43.0,-399.548342,0
506,41.0,-384.99213,0
507,21.0,-187.71601,0
508,40.0,-399.54717,0
509,21.0,-186.940114,0
510,8.0,-76.388123,0
511,11.0,-108.0947,0
512,38.0,-384.680615,0
513,17.0,-146.101083,0
514,29.0,-313.771042,0
515,30.0,-265.90834,0
516,25.0,-224.258224,0
517,26.0,-265.573499,0
518,38.0,-379.845763,0
519,29.0,-279.410639,0
520,23.0,-247.360771,0
521,7.0,-58.795598,0
522,44.0,-464.007657,0
523,17.0,-159.778995,0
524,18.0,-163.650943,0
525,31.0,-280.849009,0
526,27.0,-238.593567,0
527,9.0,-74.981902,0
528,30.0,-281.292316,0
529,43.0,-405.887674,0
530,19.0,-194.350476,0
531,27.0,-255.729487,0
532,11.0,-103.527412,0
533,48.0,-469.648703,0
534,13.0,-122.435573,0
535,39.0,-379.65534,0
536,20.0,-175.172267,0
537,7.0,-59.557359,0
538,35.0,-320.498783,0
539,4.0,-41.132359,0
540,42.0,-362.837463,0
541,46.0,-418.069435,0
542,51.0,-554.683424,0
543,25.0,-243.027569,0
544,30.0,-300.803147,0
545,47.0,-526.302723,0
546,38.0,-352.882603,0
547,16.0,-188.194616,0
548,21.0,-169.133199,0
549,13.0,-129.002744,0
550,20.0,-172.781488,0
551,25.0,-237.844539,0
552,28.0,-287.205287,0
553,39.0,-410.967728,0
554,29.0,-320.046756,0
555,40.0,-474.318034,0
556,46.0,-519.499826,0
557,40.0,-433.296708,0
558,36.0,-365.087227,0
559,19.0,-250.195595,0
560,45.0,-497.626695,0
561,16.0,-112.384532,0
562,10.0,-145.137079,0
