,length,ppl,label
711,22.0,-289.999335,0
712,20.0,-258.453982,0
713,11.0,-158.57208,0
714,16.0,-252.496101,0
715,22.0,-292.737084,0
716,13.0,-168.353326,0
717,19.0,-273.948893,0
718,14.0,-176.883697,0
719,19.0,-249.005623,0
720,12.0,-133.804879,0
721,17.0,-208.453352,0
722,25.0,-306.537645,0
723,19.0,-241.008793,0
724,7.0,-85.199091,0
725,33.0,-389.434129,0
726,12.0,-166.287843,0
727,9.0,-121.578886,0
728,34.0,-427.684058,0
729,24.0,-289.987872,0
730,28.0,-325.809992,0
731,18.0,-232.58109,0
732,12.0,-153.716941,0
733,5.0,-68.454965,0
734,32.0,-402.776347,0
735,27.0,-307.601278,0
736,29.0,-368.439552,0
737,39.0,-491.871072,0
738,14.0,-189.91902,0
739,11.0,-138.850296,0
740,38.0,-484.077867,0
741,51.0,-605.158449,0
742,17.0,-193.218572,0
743,20.0,-222.205658,0
744,30.0,-377.050894,0
745,12.0,-153.450247,0
746,26.0,-343.822311,0
747,18.0,-216.956797,0
748,5.0,-68.619984,0
749,22.0,-270.596807,0
750,25.0,-335.015796,0
751,16.0,-187.290328,0
752,35.0,-543.28093,0
753,24.0,-300.911107,0
754,21.0,-281.7883,0
755,18.0,-238.936374,0
756,23.0,-298.496199,0
757,2.0,-7.906795,0
758,20.0,-253.534955,0
759,31.0,-406.767048,0
760,31.0,-431.517352,0
761,2.0,-7.899179,0
762,21.0,-268.772419,0
763,12.0,-168.88412,0
764,2.0,-7.964212,0
765,11.0,-158.011126,0
766,21.0,-290.366512,0
767,2.0,-7.973071,0
768,17.0,-215.078628,0
769,2.0,-8.000787,0
770,12.0,-166.529844,0
771,16.0,-193.792177,0
772,22.0,-276.974028,0
773,25.0,-308.882163,0
774,4.0,-53.450953,0
775,13.0,-188.194708,0
776,15.0,-172.323978,0
777,27.0,-330.359417,0
778,41.0,-535.114555,0
779,8.0,-99.909798,0
780,19.0,-252.182446,0
781,26.0,-323.732342,0
782,25.0,-304.961657,0
783,10.0,-143.573408,0
784,9.0,-108.473023,0
785,18.0,-230.061963,0
786,22.0,-263.800692,0
787,33.0,-396.247673,0
788,43.0,-543.28303,0
789,51.0,-616.877405,0
790,16.0,-200.353628,0
791,44.0,-616.415092,0
792,13.0,-175.122267,0
793,39.0,-472.741004,0
794,30.0,-397.33226,0
795,30.0,-403.38947,0
796,9.0,-148.279062,0
797,31.0,-398.546667,0
798,8.0,-93.510653,0
799,22.0,-268.141269,0
800,17.0,-228.179407,0
801,15.0,-187.171182,0
802,24.0,-311.60549,0
803,43.0,-544.635584,0
804,20.0,-259.7836,0
805,27.0,-371.27904,0
806,42.0,-540.892828,0
807,5.0,-75.226408,0
808,16.0,-215.125279,0
809,24.0,-278.679784,0
810,9.0,-115.261899,0
811,26.0,-330.3076,0
812,23.0,-287.800333,0
813,8.0,-113.276496,0
814,5.0,-74.891332,0
815,19.0,-232.314133,0
816,21.0,-255.36853,0
817,27.0,-352.518489,0
818,13.0,-162.258566,0
819,36.0,-479.771195,0
820,10.0,-123.781157,0
821,30.0,-390.317932,0
822,23.0,-298.883688,0
823,4.0,-46.78415,0
824,16.0,-207.034621,0
825,72.0,-961.462492,0
826,21.0,-274.892372,0
827,14.0,-209.471063,0
828,19.0,-251.652719,0
829,13.0,-168.192248,0
830,26.0,-310.090455,0
831,9.0,-108.667222,0
832,21.0,-262.150639,0
833,32.0,-424.100764,0
834,29.0,-362.060638,0
835,29.0,-342.272925,0
836,23.0,-311.311164,0
837,17.0,-208.793119,0
